rank,youtuber,subscribers,video_views,video_count,category,started,views_per_video,subs_to_views_ratio,channel_age,subs_per_video,engagement_score,year
46,A4,55300000.0,29012818353.0,921.0,Gaming,1970-01-01 00:00:00.000002014,31501431.436482083,0.001906054052631596,10,60043.43105320304,524.6440931826402,1970
47,HAR PAL GEO,55100000.0,54328207503.0,134922.0,Entertainment,1970-01-01 00:00:00.000002008,402663.8168942055,0.00101420611009405,16,408.38410340789494,985.9928766424682,1970
48,Ed Sheeran,54800000.0,32437895947.0,503.0,Music,1970-01-01 00:00:00.000002006,64488858.7415507,0.0016893820761228549,18,108946.32206759443,591.9324077919708,1970
49,PANDA BOI,54700000.0,24455338211.0,1101.0,Entertainment,1970-01-01 00:00:00.000002020,22211932.980018165,0.002236730464655605,4,49682.10717529518,447.08113731261426,1970
50,Ariana Grande,54300000.0,26209779791.0,196.0,Music,1970-01-01 00:00:00.000002007,133723366.28061225,0.0020717457541801136,17,277040.8163265306,482.6847106998158,1970
51,ARY Digital HD,54100000.0,51486376307.0,140325.0,Entertainment,1970-01-01 00:00:00.000002016,366908.07986460003,0.001050763403456783,8,385.5335827543203,951.6890260073937,1970
52,Mark Rober,53800000.0,6475616024.0,158.0,Science & Technology,1970-01-01 00:00:00.000002011,40984911.5443038,0.008308089886831746,13,340506.32911392406,120.36461011152416,1970
53,Shemaroo,53700000.0,24636720319.0,12358.0,Entertainment,1970-01-01 00:00:00.000002007,1993584.7482602363,0.0021796732399720514,17,4345.3633273992555,458.7843634823091,1970
54,Fede Vigevani,52000000.0,14401513141.0,1335.0,Howto & Style,1970-01-01 00:00:00.000002009,10787650.292883895,0.003610731698182464,15,38951.31086142322,276.95217578846155,1970
55,Billie Eilish,52000000.0,15885605065.0,123.0,Music,1970-01-01 00:00:00.000002013,129151260.6910569,0.003273403800939829,11,422764.22764227644,305.49240509615385,1970
56,Get Movies,51200000.0,33067549283.0,3514.0,Entertainment,1970-01-01 00:00:00.000002006,9410230.30250427,0.0015483457682883648,18,14570.290267501423,645.8505719335938,1970
57,KL BRO Biju Rithvik,50900000.0,40706264718.0,2563.0,Entertainment,1970-01-01 00:00:00.000002020,15882272.617245415,0.001250421780348036,4,19859.53960202887,799.7301516306484,1970
58,SonyMusicIndiaVEVO,50700000.0,31122118160.0,3747.0,Music,1970-01-01 00:00:00.000002009,8305876.210301574,0.0016290664966744667,15,13530.824659727783,613.848484418146,1970
59,Mikecrack,50400000.0,18621074107.0,2043.0,Gaming,1970-01-01 00:00:00.000002015,9114573.71855115,0.0027066107846621867,9,24669.603524229075,369.46575609126984,1970
60,JuegaGerman,50300000.0,15501312729.0,2181.0,Gaming,1970-01-01 00:00:00.000002013,7107433.6217331495,0.0032448864737693018,11,23062.81522237506,308.17719143141153,1970
61,YOLO AVENTURAS,49900000.0,16415333003.0,2395.0,People & Blogs,1970-01-01 00:00:00.000002018,6854001.253862213,0.0030398408604248527,6,20835.07306889353,328.96458923847695,1970
62,Jess No Limit,49800000.0,6520658024.0,2948.0,Entertainment,1970-01-01 00:00:00.000002017,2211892.1383989146,0.007637266026941701,7,16892.80868385346,130.9369081124498,1970
63,?????? ???????? - Acharya Prashant,49400000.0,2688506741.0,10380.0,,1970-01-01 00:00:00.000002014,259008.35655105973,0.01837451223262527,10,4759.152215799615,54.4232133805668,1970
64,???? ? ???????,48600000.0,40438782884.0,1722.0,Film & Animation,1970-01-01 00:00:00.000002011,23483613.75377468,0.0012018165863055454,13,28222.996515679442,832.0737218930041,1970
65,Masha and The Bear,48300000.0,28431795814.0,1450.0,Shows,1970-01-01 00:00:00.000002014,19608135.044137932,0.0016988022957106622,10,33310.34482758621,588.6500168530021,1970
66,ABS-CBN Entertainment,48300000.0,54986977484.0,226640.0,People & Blogs,1970-01-01 00:00:00.000002008,242618.14985880692,0.0008783897971852379,16,213.11330744793506,1138.446738799172,1970
67,BETER BÖCÜK,47900000.0,28622092736.0,4786.0,Gaming,1970-01-01 00:00:00.000002012,5980378.758044296,0.0016735324157395673,12,10008.357709987464,597.538470480167,1970
68,Bad Bunny,47900000.0,35362414855.0,155.0,Music,1970-01-01 00:00:00.000002014,228144611.96774194,0.0013545455025175486,10,309032.2580645161,738.2550074112735,1970
69,Voot Kids,47600000.0,22839748825.0,5890.0,Entertainment,1970-01-01 00:00:00.000002016,3877716.2691001697,0.0020840859663000255,8,8081.494057724957,479.826655987395,1970
70,Fernanfloo,47500000.0,10605462479.0,546.0,Gaming,1970-01-01 00:00:00.000002011,19423923.954212453,0.004478824011122128,13,86996.33699633699,223.27289429473683,1970
71,Badabun,47400000.0,19765389240.0,21995.0,Entertainment,1970-01-01 00:00:00.000002014,898631.017958627,0.0023981313711786026,10,2155.035235280746,416.9913341772152,1970
72,Alan Chikin Chow,46600000.0,40460365398.0,1246.0,Comedy,1970-01-01 00:00:00.000002020,32472203.36918138,0.0011517444180645855,4,37399.67897271268,868.2481845064377,1970
73,Felipe Neto,46400000.0,17712289572.0,4925.0,Entertainment,1970-01-01 00:00:00.000002006,3596403.9740101523,0.002619650035156957,18,9421.319796954314,381.73037870689654,1970
74,Shakira,46200000.0,30347249853.0,358.0,People & Blogs,1970-01-01 00:00:00.000002005,84768854.33798882,0.0015223784765930894,19,129050.27932960894,656.866879935065,1970
75,Ricis Official,46100000.0,7786094884.0,4398.0,People & Blogs,1970-01-01 00:00:00.000002016,1770371.7335152342,0.005920811483396251,8,10482.037289677126,168.89576754880693,1970
76,Alan Walker,45600000.0,14258353183.0,584.0,Music,1970-01-01 00:00:00.000002012,24414988.327054795,0.0031981252964310165,12,78082.19178082192,312.6831838377193,1970
77,Você Sabia?,45500000.0,8119307582.0,1687.0,Entertainment,1970-01-01 00:00:00.000002013,4812867.564908121,0.005603926140311604,11,26970.954356846472,178.44632048351647,1970
78,Ishtar Music,45400000.0,19419638399.0,4626.0,Trailers,1970-01-01 00:00:00.000002005,4197933.073713792,0.002337839617154655,19,9814.094249891916,427.74533918502203,1970
79,Kimberly Loaiza,45100000.0,6597708496.0,316.0,People & Blogs,1970-01-01 00:00:00.000002016,20878824.35443038,0.006835706674119178,8,142721.51898734178,146.29065401330377,1970
80,Katy Perry,45000000.0,26798028090.0,144.0,Music,1970-01-01 00:00:00.000002008,186097417.29166666,0.0016792280330802504,16,312500.0,595.5117353333334,1970
81,whinderssonnunes,44700000.0,4522683019.0,783.0,Comedy,1970-01-01 00:00:00.000002013,5776095.809706258,0.00988351379307664,11,57088.122605363984,101.17859102908277,1970
82,shfa2 - ???,44600000.0,27804707665.0,1768.0,People & Blogs,1970-01-01 00:00:00.000002017,15726644.606900452,0.0016040449170462443,7,25226.2443438914,623.4239386771301,1970
83,BRIGHT SIDE,44600000.0,11165155212.0,8047.0,Howto & Style,1970-01-01 00:00:00.000002017,1387492.8808251522,0.003994570532442321,7,5542.438175717659,250.33980295964125,1970
84,LUCCAS NETO - LUCCAS TOON,44200000.0,25470880016.0,2750.0,People & Blogs,1970-01-01 00:00:00.000002014,9262138.187636364,0.001735314993915992,10,16072.727272727272,576.2642537556561,1970
85,Speed Records,44200000.0,29000798133.0,11516.0,Music,1970-01-01 00:00:00.000002012,2518304.804880167,0.0015240959851275553,12,3838.1382424452936,656.1266545927601,1970
86,MrBeast Gaming,44100000.0,7916637953.0,141.0,Gaming,1970-01-01 00:00:00.000002020,56146368.46099291,0.005570546520103065,4,312765.9574468085,179.51559984126985,1970
87,ABP NEWS,43900000.0,17362857759.0,383685.0,People & Blogs,1970-01-01 00:00:00.000002012,45252.89693107628,0.0025283856269135495,12,114.41677417673351,395.5092883599089,1970
88,StarPlus,43800000.0,43994062628.0,92596.0,Entertainment,1970-01-01 00:00:00.000002006,475118.39202557347,0.0009955888904909526,18,473.0225927685861,1004.4306536073059,1970
89,HolaSoyGerman.,43800000.0,4892742237.0,136.0,Entertainment,1970-01-01 00:00:00.000002011,35976045.86029412,0.008952035050768607,13,322058.82352941175,111.70644376712329,1970
90,MrBeast 2,43300000.0,6749695321.0,114.0,People & Blogs,1970-01-01 00:00:00.000002020,59207853.69298246,0.006415104377420238,4,379824.56140350876,155.8821090300231,1970
91,Rihanna,43300000.0,24335682178.0,88.0,Entertainment,1970-01-01 00:00:00.000002005,276541842.9318182,0.0017792803046690084,19,492045.45454545453,562.0249925635104,1970
92,Like Nastya Show,43300000.0,20515455364.0,713.0,Entertainment,1970-01-01 00:00:00.000002017,28773429.683029454,0.0021106038950508377,7,60729.31276297335,473.7980453579677,1970
93,shfa,43300000.0,25240435750.0,1128.0,People & Blogs,1970-01-01 00:00:00.000002015,22376272.828014184,0.0017155012864625366,9,38386.524822695035,582.919994226328,1970
94,Sony PAL,43100000.0,32905352450.0,28501.0,Shows,1970-01-01 00:00:00.000002014,1154533.2602364828,0.0013098173029901705,10,1512.2276411353987,763.4652540603248,1970
95,Luisito Comunica,42800000.0,9785404269.0,1362.0,Comedy,1970-01-01 00:00:00.000002012,7184584.6321585905,0.004373861194022377,12,31424.37591776799,228.63094086448598,1970
96,Maria Clara & JP,42700000.0,27843362220.0,824.0,People & Blogs,1970-01-01 00:00:00.000002015,33790488.13106796,0.0015335791583865692,9,51820.388349514564,652.0693728337236,1970
97,DaFuq!?Boom!,42300000.0,16779938358.0,295.0,Film & Animation,1970-01-01 00:00:00.000002016,56881146.97627119,0.0025208674249886658,8,143389.83050847458,396.688850070922,1970
98,Goldmines Gaane Sune Ansune,42300000.0,19053313457.0,3812.0,Music,1970-01-01 00:00:00.000002015,4998245.922612802,0.002220086290789458,9,11096.537250786989,450.4329422458629,1970
99,Total Gaming,42200000.0,4267209662.0,503.0,Gaming,1970-01-01 00:00:00.000002018,8483518.21471173,0.009889366434416364,6,83896.62027833003,101.11871236966824,1970
100,CarryMinati,42200000.0,3777339775.0,197.0,Comedy,1970-01-01 00:00:00.000002014,19174313.578680202,0.011171883524828,10,214213.19796954314,89.5104212085308,1970
101,Super Simple Songs - Kids Songs,42000000.0,51028475021.0,793.0,Education,1970-01-01 00:00:00.000002006,64348644.4148802,0.000823069864085014,18,52963.43001261034,1214.9636909761905,1970
102,IndiaTV,41800000.0,20418868849.0,306269.0,News & Politics,1970-01-01 00:00:00.000002006,66669.72122219356,0.002047126131673407,18,136.48132850533355,488.4896853827751,1970
103,Dushyant kukreja,41700000.0,25355477656.0,1202.0,Entertainment,1970-01-01 00:00:00.000002015,21094407.367720466,0.001644615043965946,9,34692.17970049917,608.0450277218225,1970
104,Real fools shorts official,41600000.0,18026197031.0,565.0,People & Blogs,1970-01-01 00:00:00.000002021,31904773.506194692,0.0023077524298918775,3,73628.3185840708,433.32204401442306,1970
105,???KIMPRO,41400000.0,39989883613.0,3230.0,People & Blogs,1970-01-01 00:00:00.000002017,12380768.920433437,0.0010352618277323917,7,12817.337461300309,965.939217705314,1970
106,Saregama Music,41400000.0,19723045529.0,8801.0,Entertainment,1970-01-01 00:00:00.000002013,2241000.5146006136,0.0020990673037349656,11,4704.010907851381,476.4020659178744,1970
107,Alejo Igoa,41400000.0,17097789779.0,1075.0,Comedy,1970-01-01 00:00:00.000002014,15904920.724651163,0.00242136559959631,10,38511.62790697674,412.9900912801932,1970
108,TheDonato,41100000.0,7567713758.0,3518.0,Entertainment,1970-01-01 00:00:00.000002015,2151140.9204093236,0.005430966513043952,9,11682.77430358158,184.1292885158151,1970
109,Genevieve's Playhouse - Learning Videos for Kids,41100000.0,30940999892.0,642.0,Education,1970-01-01 00:00:00.000002016,48194703.88161994,0.0013283345768869829,8,64018.69158878505,752.8223818004866,1970
110,Little Baby Bum - Nursery Rhymes & Kids Songs,41000000.0,40511633246.0,2668.0,Education,1970-01-01 00:00:00.000002011,15184270.332083957,0.0010120549756914138,13,15367.316341829086,988.0886157560975,1970
111,WorkpointOfficial,41000000.0,38572625814.0,84798.0,Entertainment,1970-01-01 00:00:00.000002012,454876.59866977995,0.001062929970018245,12,483.5019693860704,940.7957515609756,1970
112,TEDx Talks,40900000.0,7908072755.0,217720.0,Nonprofits & Activism,1970-01-01 00:00:00.000002009,36322.215483189415,0.00517193016138355,15,187.8559617857799,193.3514121026895,1970
113,Techno Gamerz,40900000.0,11885843855.0,1040.0,Gaming,1970-01-01 00:00:00.000002017,11428696.014423076,0.003441068257244071,7,39326.92307692308,290.6074292176039,1970
114,PowerKids TV,40900000.0,21689007349.0,8132.0,Film & Animation,1970-01-01 00:00:00.000002014,2667118.463969503,0.0018857478971662457,10,5029.513034923758,530.293578215159,1970
